Host_ID,p_KU,p_KS,p_AD,p_KS_Samp,p_AD_Samp,N,Host_ID_0.25,p_KU_0.25,p_KS_0.25,p_AD_0.25,p_KS_Samp_0.25,p_AD_Samp_0.25,N_0.25,Host_ID_0.5_0.5,p_KU_0.5,p_KS_0.5,p_AD_0.5,p_KS_Samp_0.5,p_AD_Samp_0.5,N_0.5,Host_ID,p_KU_1,p_KS_1,p_AD_1,p_KS_Samp_1,p_AD_Samp_1,N_1,Host_ID_2,p_KU_2,p_KS_2,p_AD_2,p_KS_Samp_2,p_AD_Samp_2,N_2,Host_ID_4,p_KU_4,p_KS_4,p_AD_4,p_KS_Samp_4,p_AD_Samp_4,N_4,Host_ID_8,p_KU_8,p_KS_8,p_AD_8,p_KS_Samp_8,p_AD_Samp_8,N_8
M_219101992_30_kappa_0,0.238982139,0.379094954,0.58441815,0.33000779,0.329484166,40,M_219101992_30_kappa_0.25,0.001869335,0.17012139,0.066157246,0.025014091,0.026066011,46,M_219101992_30_kappa_0.5,0.006254281,0.174554698,0.117354374,0.043115838,0.043249518,36,M_219101992_30_kappa_1,0.011703648,0.118056438,0.086465104,0.022794416,0.026996253,24,M_219101992_30_kappa_2,8.46E-05,0.003662472,0.028141352,0.006321158,0.003823264,17,M_219101992_30_kappa_4,6.68E-08,0.008496894,0.01098352,0.002401976,0.004250571,16,M_219101992_30_kappa_8,2.02E-14,0.000301573,0.00042823,7.15E-05,0.000167732,29
M_219101992_31_kappa_0,0.341577174,0.559457826,0.522071065,0.555951626,0.542464248,30,M_219101992_31_kappa_0.25,0.98842759,0.947173763,0.724486949,0.957846501,0.927758629,24,M_219101992_31_kappa_0.5,0.174128267,0.401925131,0.40723758,0.239520646,0.246386776,26,M_219101992_31_kappa_1,0.030577817,0.363589464,0.163179407,0.101580912,0.060787186,23,M_219101992_31_kappa_2,2.05E-05,0.02077583,0.0215818,0.005222698,0.004144473,24,M_219101992_31_kappa_4,2.32E-10,0.001294889,0.002230523,0.000368999,0.000390676,23,M_219101992_31_kappa_8,5.90E-10,0.002260716,0.00617632,0.000872739,0.001778267,16
M_219101992_32_kappa_0,0.061044821,0.025534855,0.020191725,0.115787369,0.078682678,41,M_219101992_32_kappa_0.25,0.834704346,0.967373545,0.966078345,0.783214168,0.714810235,44,M_219101992_32_kappa_0.5,0.826767919,0.560661931,0.862620786,0.65013934,0.797463252,36,M_219101992_32_kappa_1,2.79E-05,0.061209671,0.029978938,0.01634385,0.017056178,17,M_219101992_32_kappa_2,5.72E-10,0.000935202,0.002437172,0.000403071,0.000450425,27,M_219101992_32_kappa_4,2.50E-08,0.007038446,0.009437065,0.002557723,0.003888659,17,M_219101992_32_kappa_8,7.19E-10,0.00501657,0.003865069,0.000310608,0.000839056,20
M_219101992_33_kappa_0,0.206222956,0.287875816,0.549474144,0.230610927,0.271191516,43,M_219101992_33_kappa_0.25,0.008070088,0.143182216,0.091320973,0.058901828,0.083057932,46,M_219101992_33_kappa_0.5,0.216394232,0.57043841,0.412776949,0.287816029,0.29198519,28,M_219101992_33_kappa_1,0.010148332,0.022675695,0.027958528,0.037675934,0.023434533,23,M_219101992_33_kappa_2,3.22E-06,0.003405321,0.014195076,0.001961074,0.003723096,29,M_219101992_33_kappa_4,5.74E-10,0.001147344,0.001920341,0.000793955,0.000773918,24,M_219101992_33_kappa_8,1.03E-05,0.02425936,0.025103953,0.003588666,0.007455015,13
M_219101992_34_kappa_0,0.544865912,0.679432685,0.833315737,0.551743529,0.620696255,32,M_219101992_34_kappa_0.25,0.745768784,0.854660227,0.643472818,0.620562557,0.60576967,36,M_219101992_34_kappa_0.5,0.078641342,0.162452933,0.202921768,0.109067709,0.099440773,33,M_219101992_34_kappa_1,0.067936017,0.231263577,0.171224531,0.168334269,0.126537276,33,M_219101992_34_kappa_2,3.80E-05,0.036142396,0.017839385,0.007763097,0.005952797,18,M_219101992_34_kappa_4,3.46E-08,0.002386639,0.006184287,0.000791213,0.000634967,18,M_219101992_34_kappa_8,7.20E-09,0.00318977,0.008234082,0.000474921,0.000456043,17
M_219101992_35_kappa_0,0.209022564,0.297405786,0.273791813,0.307390476,0.299240218,30,M_219101992_35_kappa_0.25,0.470019538,0.556604404,0.890654389,0.484454942,0.606649315,32,M_219101992_35_kappa_0.5,0.449091417,0.629148925,0.535740924,0.376249154,0.301409371,38,M_219101992_35_kappa_1,0.079283193,0.130842747,0.188612483,0.124943777,0.129150243,19,M_219101992_35_kappa_2,2.64E-05,0.059695793,0.027310443,0.007386623,0.005795555,17,M_219101992_35_kappa_4,3.19E-10,0.002179027,0.00458965,0.000299669,0.000838331,21,M_219101992_35_kappa_8,1.01E-14,0.000653096,0.000854087,8.04E-05,0.000318652,21
M_219101992_36_kappa_0,0.708330021,0.868883431,0.769404292,0.721621062,0.700678791,52,M_219101992_36_kappa_0.25,0.030320384,0.025695391,0.078267049,0.114785211,0.105887788,38,M_219101992_36_kappa_0.5,0.099613005,0.425437013,0.490729639,0.202866092,0.289507829,30,M_219101992_36_kappa_1,0.004861686,0.063411195,0.077042347,0.055420217,0.037087869,33,M_219101992_36_kappa_2,1.14E-05,0.032224945,0.020421322,0.007859313,0.006445171,25,M_219101992_36_kappa_4,4.79E-11,0.002113538,0.001198706,7.49E-06,5.62E-05,28,M_219101992_36_kappa_8,1.97E-09,0.008162252,0.005582304,0.000478084,0.001316126,18
M_219101992_37_kappa_0,0.116264143,0.110144047,0.449558489,0.214049023,0.34947622,41,M_219101992_37_kappa_0.25,0.333843754,0.108497558,0.1897437,0.359249868,0.324910876,34,M_219101992_37_kappa_0.5,0.262111606,0.303761069,0.372137537,0.265441556,0.233706964,25,M_219101992_37_kappa_1,0.010240052,0.262203172,0.098342841,0.0460745,0.030583708,35,M_219101992_37_kappa_2,9.56E-06,0.022113183,0.020162345,0.006773138,0.003456728,23,M_219101992_37_kappa_4,5.46E-08,0.014874974,0.015000002,0.00124812,0.003948798,15,M_219101992_37_kappa_8,3.64E-13,0.0019874,0.002249731,6.31E-05,0.00016924,18
M_219101992_38_kappa_0,0.645530231,0.636510737,0.831395939,0.657218317,0.626482881,52,M_219101992_38_kappa_0.25,0.112573303,0.024819098,0.041915905,0.252533905,0.220015133,32,M_219101992_38_kappa_0.5,0.074675248,0.336410097,0.237445515,0.166160586,0.127694857,28,M_219101992_38_kappa_1,0.004140367,0.094414118,0.141450984,0.055858001,0.064076798,23,M_219101992_38_kappa_2,3.15E-09,0.003455007,0.001088769,0.000533825,9.07E-05,36,M_219101992_38_kappa_4,1.96E-08,0.003133576,0.007780477,0.000947079,0.001265815,16,M_219101992_38_kappa_8,4.64E-08,0.018044779,0.012174283,0.002918764,0.004718701,14
M_219101992_39_kappa_0,0.63058217,0.686603853,0.414184812,0.636987796,0.693323778,27,M_219101992_39_kappa_0.25,0.154153933,0.189633411,0.276681225,0.209874774,0.258166806,27,M_219101992_39_kappa_0.5,0.049261961,0.310735067,0.278080668,0.143591867,0.128466904,25,M_219101992_39_kappa_1,9.74E-06,0.036554895,0.019939485,0.005706016,0.005045698,27,M_219101992_39_kappa_2,0.000325642,0.072828403,0.035849604,0.012384259,0.007313612,18,M_219101992_39_kappa_4,1.04E-09,0.003078324,0.001606944,0.000202751,0.000148013,28,M_219101992_39_kappa_8,4.91E-05,0.061739655,0.053863266,0.008336324,0.015189185,13
M_219101992_4_kappa_0,0.41390597,0.46505527,0.283201005,0.438683635,0.440682855,27,M_219101992_4_kappa_0.25,0.046377088,0.020959328,0.035587166,0.202599221,0.317759874,38,M_219101992_4_kappa_0.5,0.143289085,0.301475508,0.394862244,0.232677615,0.245423675,32,M_219101992_4_kappa_1,0.014046066,0.237800423,0.151995787,0.061172063,0.045027475,34,M_219101992_4_kappa_2,0.000237432,0.047413935,0.054670514,0.010588636,0.009699294,19,M_219101992_4_kappa_4,5.13E-09,0.000943742,0.002836721,0.000277003,0.000535821,21,M_219101992_4_kappa_8,2.64E-12,0.001494898,0.002310383,0.000352656,0.000992052,18
M_219101992_40_kappa_0,0.256319285,0.340654748,0.410593512,0.342328709,0.330399666,41,M_219101992_40_kappa_0.25,0.942243388,0.950578241,0.927984603,0.832561506,0.71779727,34,M_219101992_40_kappa_0.5,0.137139964,0.081997463,0.270308375,0.190007496,0.325867463,24,M_219101992_40_kappa_1,4.37E-06,0.032552627,0.024024921,0.003983781,0.003750039,22,M_219101992_40_kappa_2,1.60E-06,0.008586882,0.002882157,0.001156157,0.000560303,39,M_219101992_40_kappa_4,4.38E-07,0.003836461,0.007477872,0.002081446,0.002139017,26,M_219101992_40_kappa_8,1.01E-08,0.011304716,0.008431466,0.001905356,0.003177836,15
M_219101992_41_kappa_0,0.555722761,0.844781381,0.789768707,0.557408715,0.52614987,37,M_219101992_41_kappa_0.25,0.401915094,0.763044193,0.661250171,0.388669818,0.489551024,30,M_219101992_41_kappa_0.5,0.118673288,0.093261926,0.103683065,0.196972985,0.178016321,36,M_219101992_41_kappa_1,0.062202163,0.371714784,0.18196682,0.106492926,0.067166028,28,M_219101992_41_kappa_2,2.52E-06,0.010029491,0.011554079,0.00305763,0.001847722,23,M_219101992_41_kappa_4,3.54E-06,0.027469026,0.023597246,0.003040576,0.001211596,13,M_219101992_41_kappa_8,8.14E-12,0.00078675,0.001538819,0.00028344,0.000399092,21
M_219101992_42_kappa_0,0.044919836,0.05799924,0.097690534,0.092567494,0.07160253,47,M_219101992_42_kappa_0.25,0.531973224,0.805178328,0.742751946,0.620114066,0.639261786,28,M_219101992_42_kappa_0.5,0.452377903,0.638892269,0.740651353,0.47910024,0.450445262,27,M_219101992_42_kappa_1,0.000356104,0.01490485,0.041134263,0.003200044,0.009088529,23,M_219101992_42_kappa_2,4.92E-06,0.031799698,0.011863411,0.004042074,0.00375932,18,M_219101992_42_kappa_4,6.70E-06,0.024899347,0.025293254,0.005585136,0.006270163,18,M_219101992_42_kappa_8,5.58E-09,0.008494923,0.006450044,0.000939729,0.001033112,18
M_219101992_43_kappa_0,0.425932707,0.805605574,0.410934891,0.410793883,0.401620986,20,M_219101992_43_kappa_0.25,0.677776555,0.781633987,0.894595938,0.635332553,0.623025991,25,M_219101992_43_kappa_0.5,0.002299978,0.10257336,0.119130175,0.031693467,0.027119028,35,M_219101992_43_kappa_1,0.078700654,0.343654273,0.542245877,0.181488735,0.336891391,22,M_219101992_43_kappa_2,5.62E-05,0.061746345,0.035258794,0.004478036,0.009263121,22,M_219101992_43_kappa_4,9.86E-08,0.018894537,0.010048926,0.003060734,0.003517923,17,M_219101992_43_kappa_8,4.45E-08,0.017652979,0.012133095,0.003433787,0.005684561,15
M_219101992_44_kappa_0,0.986707163,0.975043986,0.933436528,0.943074453,0.870791371,41,M_219101992_44_kappa_0.25,0.175465394,0.503435655,0.509479203,0.43096385,0.391577583,36,M_219101992_44_kappa_0.5,0.009440747,0.254270986,0.14311415,0.059346827,0.060504393,30,M_219101992_44_kappa_1,0.023841824,0.178089678,0.155330846,0.104812484,0.076214716,20,M_219101992_44_kappa_2,6.67E-05,0.060295344,0.046564253,0.018579064,0.025285927,14,M_219101992_44_kappa_4,2.76E-08,0.00388654,0.004801673,0.001181209,0.001797622,24,M_219101992_44_kappa_8,3.00E-08,0.001999131,0.005159418,0.00071923,0.000809428,20
M_219101992_45_kappa_0,0.874739757,0.687738551,0.645861726,0.76281651,0.707040525,31,M_219101992_45_kappa_0.25,0.021538806,0.277117,0.14365146,0.046938371,0.066085325,25,M_219101992_45_kappa_0.5,0.233473284,0.162440767,0.284849688,0.283766479,0.276676579,34,M_219101992_45_kappa_1,0.008207249,0.061053751,0.121314845,0.068424518,0.068253051,22,M_219101992_45_kappa_2,7.14E-08,0.010407496,0.009734292,0.001567661,0.000815542,24,M_219101992_45_kappa_4,2.83E-07,0.008445151,0.007781706,0.002098109,0.001559051,20,M_219101992_45_kappa_8,1.42E-08,0.014192693,0.013317954,0.000932312,0.003031373,13
M_219101992_46_kappa_0,0.909215335,0.963099694,0.983281428,0.854323006,0.846577616,49,M_219101992_46_kappa_0.25,0.8479033,0.893921218,0.925667137,0.831002329,0.823345227,31,M_219101992_46_kappa_0.5,0.23360557,0.132990809,0.208508107,0.303619708,0.314179261,26,M_219101992_46_kappa_1,0.105314675,0.070373785,0.18034895,0.214687646,0.221445474,24,M_219101992_46_kappa_2,7.46E-05,0.060502262,0.018280166,0.007842748,0.004090658,28,M_219101992_46_kappa_4,3.90E-10,0.004892234,0.003203624,0.000485014,0.000595048,21,M_219101992_46_kappa_8,2.46E-08,0.008653261,0.012690357,0.000859337,0.003345578,13
M_219101992_47_kappa_0,0.37212541,0.408243654,0.487093423,0.279811224,0.330017232,32,M_219101992_47_kappa_0.25,0.214557808,0.157840217,0.469239103,0.242841976,0.454458257,36,M_219101992_47_kappa_0.5,0.870962238,0.959700827,0.919240225,0.789561272,0.767384487,23,M_219101992_47_kappa_1,0.003805124,0.020522638,0.04638277,0.033537005,0.024209766,41,M_219101992_47_kappa_2,2.02E-06,0.028534716,0.016162321,0.006311284,0.007263433,21,M_219101992_47_kappa_4,1.82E-08,0.009729258,0.011509458,0.000950443,0.003007391,19,M_219101992_47_kappa_8,9.03E-08,0.015509191,0.011768488,0.002901714,0.003967396,15
M_219101992_48_kappa_0,0.888657265,0.81325144,0.584878919,0.811051029,0.784279318,38,M_219101992_48_kappa_0.25,0.703716038,0.506388255,0.448328596,0.658845944,0.65070085,43,M_219101992_48_kappa_0.5,0.058595863,0.444815734,0.344129181,0.180110817,0.214281789,24,M_219101992_48_kappa_1,0.00281819,0.015333288,0.06565077,0.042455286,0.057540465,21,M_219101992_48_kappa_2,9.37E-05,0.032698117,0.016600737,0.007051931,0.003534064,28,M_219101992_48_kappa_4,6.64E-05,0.041244962,0.036026751,0.014333563,0.005614941,15,M_219101992_48_kappa_8,3.53E-06,0.022149675,0.03407177,0.003661054,0.008640259,12
M_219101992_49_kappa_0,0.981853138,0.99561659,0.939200739,0.877873342,0.801824914,48,M_219101992_49_kappa_0.25,0.420906431,0.242626516,0.215058234,0.422648216,0.33641154,37,M_219101992_49_kappa_0.5,0.070922964,0.130782813,0.119143291,0.09488178,0.061618341,32,M_219101992_49_kappa_1,0.000845167,0.02862052,0.048113613,0.020293731,0.012041903,19,M_219101992_49_kappa_2,5.48E-05,0.018938331,0.020483333,0.004069832,0.003997605,27,M_219101992_49_kappa_4,3.09E-09,0.008170044,0.005460534,0.001816433,0.002270084,18,M_219101992_49_kappa_8,6.75E-08,0.003097889,0.007068635,0.001702759,0.002415303,19
M_219101992_5_kappa_0,0.214396187,0.629899396,0.555084604,0.315587307,0.370764135,36,M_219101992_5_kappa_0.25,0.615772319,0.315723519,0.275844667,0.522027551,0.521873633,33,M_219101992_5_kappa_0.5,0.024287994,0.083920537,0.213241497,0.129340385,0.150580371,33,M_219101992_5_kappa_1,0.003185948,0.146148599,0.041336419,0.01279085,0.00921053,32,M_219101992_5_kappa_2,6.93E-08,0.005960731,0.006669515,0.000353706,0.000389641,28,M_219101992_5_kappa_4,5.74E-05,0.034448506,0.049125157,0.016609912,0.026446711,11,M_219101992_5_kappa_8,6.67E-11,0.002330809,0.003111479,0.000520604,0.000677182,17
M_219101992_6_kappa_0,0.19137463,0.089683656,0.128150067,0.252328146,0.208086475,59,M_219101992_6_kappa_0.25,0.910919128,0.454679573,0.171895105,0.836887146,0.837986071,35,M_219101992_6_kappa_0.5,0.660792533,0.553816374,0.726038153,0.616202109,0.735987849,32,M_219101992_6_kappa_1,0.007883486,0.234242043,0.138239668,0.060188555,0.067847617,34,M_219101992_6_kappa_2,6.35E-06,0.032824334,0.013749096,0.01043477,0.006150734,24,M_219101992_6_kappa_4,2.41E-05,0.003752266,0.017504283,0.005328889,0.001664165,19,M_219101992_6_kappa_8,5.88E-13,0.001467403,0.00165516,0.000100197,0.000418876,21
M_219101992_7_kappa_0,0.052498337,0.012230806,0.011976078,0.162026553,0.17472776,45,M_219101992_7_kappa_0.25,0.964478214,0.953815661,0.811636212,0.866553013,0.818354214,36,M_219101992_7_kappa_0.5,0.022562616,0.154206794,0.226629439,0.086574534,0.128086279,28,M_219101992_7_kappa_1,0.007368266,0.200458595,0.115999891,0.039929616,0.042655963,28,M_219101992_7_kappa_2,5.81E-05,0.030002345,0.029984876,0.010940137,0.006903129,16,M_219101992_7_kappa_4,0.000258678,0.026257008,0.05134587,0.026824782,0.035366827,14,M_219101992_7_kappa_8,4.81E-14,0.001112502,0.00165835,0.000225563,0.000819756,19
M_219101992_8_kappa_0,0.222270063,0.272695602,0.450728032,0.345707824,0.441132654,43,M_219101992_8_kappa_0.25,0.260523879,0.632079548,0.608010383,0.422122178,0.454741333,44,M_219101992_8_kappa_0.5,0.000458791,0.024806617,0.027569584,0.016729023,0.023407776,45,M_219101992_8_kappa_1,0.005885625,0.212851242,0.11524208,0.049951862,0.046849529,25,M_219101992_8_kappa_2,2.17E-06,0.002776238,0.009301007,0.00536601,0.001901782,25,M_219101992_8_kappa_4,2.60E-08,0.00409457,0.003032836,0.001159559,0.000933938,23,M_219101992_8_kappa_8,1.14E-10,0.000954123,0.004897223,0.000404642,0.001719032,18
