Host_ID,Kappa,Center,TS_{VM},Host_ID_8,Kappa_8,Center_8,TS_{VM}_8,Host_ID_4,Kappa_4,Center_4,TS_{VM}_4,Host_ID_2,Kappa_2,Center_2,TS_{VM}_2,Host_ID_1,Kappa_1,Center_1,TS_{VM}_1,Host_ID_0.5,Kappa_0.5,Center_0.5,TS_{VM}_0.5,Host_ID_0.25,Kappa_0.25,Center_0.25,TS_{VM}_0.25
0,0,1,0,8,5.69,0.487,44,4,5.23,0.495,64,2,2.59,0.553,39,1,0.869,0.467,8.6,0.5,0.746,0.524,7.1,0.25,0,1,0
0,0.346,0.581,2.3,8,5.03,0.479,51,4,1.94,0.554,15,2,1.7,0.498,21,1,0.886,0.509,11,0.5,1.5,0.574,24,0.25,0,1,0
0,0,0.0497,0,8,4.14,0.506,61,4,3.43,0.486,41,2,1.28,0.528,15,1,0.982,0.538,12,0.5,0.504,0.594,4,0.25,0.199,0.296,0.55
0,0,1,0,8,13,0.501,60,4,3.82,0.485,42,2,1.71,0.449,24,1,1.14,0.509,13,0.5,0,0,0,0.25,0.315,0.633,1.5
0,0,0,0,8,8.68,0.494,38,4,4.46,0.484,37,2,1.71,0.479,26,1,0.739,0.51,9.2,0.5,0,0,0,0.25,0.287,0.642,1.4
0,0.424,0.195,2.6,8,12,0.525,79,4,4.74,0.476,48,2,1.81,0.582,29,1,0,0,0,0.5,0.755,0.573,8.8,0.25,0.273,0.151,1.2
0,0.103,0.944,0.22,8,4.66,0.538,45,4,5.3,0.502,50,2,2.42,0.511,35,1,1.08,0.544,17,0.5,0,0,0,0.25,0.643,0.491,6.9
0,0,1,0,8,4.98,0.481,39,4,8.02,0.511,54,2,2.17,0.511,30,1,0.681,0.468,6.6,0.5,0.692,0.609,7.5,0.25,0,0,0
0,0.329,0.192,2.2,8,3.91,0.542,53,4,5.28,0.497,31,2,1.59,0.477,23,1,0.878,0.531,12,0.5,0.207,0.574,0.77,0.25,0.113,0.723,0.2
0,0.411,0.841,2.9,8,8.22,0.473,46,4,3.29,0.502,51,2,2.32,0.504,28,1,0.734,0.515,8.1,0.5,0,0,0,0.25,0,0.153,0
0,0.114,0.188,0.26,8,3.68,0.464,39,4,2.32,0.463,25,2,1.7,0.489,37,1,1.07,0.431,11,0.5,0,0,0,0.25,0.953,0.554,9.7
0,0,0.0939,0,8,7.76,0.512,59,4,3.19,0.513,43,2,1.99,0.525,26,1,0.942,0.535,7.2,0.5,0.658,0.487,5.6,0.25,0.875,0.485,10
0,0.167,0.537,0.53,8,4.32,0.493,26,4,2.16,0.488,32,2,1.7,0.538,33,1,1.16,0.494,17,0.5,0.453,0.613,3.8,0.25,0.14,0.494,0.33
0,0.228,0.605,0.95,8,10.3,0.496,59,4,2.18,0.468,31,2,2.07,0.493,28,1,1.28,0.532,15,0.5,0.797,0.491,8.5,0.25,0.888,0.451,14
0,0.282,0.565,1.4,8,13,0.488,64,4,4.39,0.545,61,2,1.67,0.45,34,1,0.852,0.516,12,0.5,0,0.146,0,0.25,0,0,0
0,0,0.241,0,8,4.06,0.515,33,4,2.76,0.516,24,2,2.33,0.498,32,1,0.842,0.492,11,0.5,0.877,0.529,12,0.25,0.578,0.797,5.5
0,0.229,0.934,0.8,8,4.78,0.487,39,4,3.28,0.518,42,2,4.33,0.498,43,1,1.02,0.501,9.9,0.5,0.338,0.535,2.1,0.25,0.238,0.566,1.1
0,0.438,0.915,3,8,9.59,0.503,33,4,6.09,0.455,41,2,2.52,0.502,39,1,0,0,0,0.5,0,0,0,0.25,0.109,0.171,0.21
0,0,0,0,8,15.4,0.5,57,4,2.97,0.496,47,2,1.72,0.475,24,1,0.576,0.515,3.4,0.5,0.436,0.597,3,0.25,0,0,0
0,0,0.442,0,8,5.52,0.497,51,4,4.75,0.516,48,2,1.75,0.548,24,1,1.34,0.592,16,0.5,0.649,0.479,4.7,0.25,0.0498,0.803,0.03
0,0.0399,0.484,0.038,8,4.92,0.497,35,4,6.13,0.47,74,2,2.31,0.497,27,1,1.1,0.575,9.9,0.5,0.813,0.502,7.3,0.25,0.398,0.804,2.9
0,0.285,0.83,1.8,8,2.91,0.482,21,4,4.35,0.443,39,2,2.77,0.497,22,1,0.679,0.51,6.8,0.5,0,0,0,0.25,0,0,0
0,0,0,0,8,12.5,0.51,60,4,2.77,0.506,27,2,2.36,0.509,49,1,0.947,0.472,9.6,0.5,0,0,0,0.25,0,0.263,0
0,0.0823,0.616,0.098,8,11.7,0.504,59,4,4.25,0.477,51,2,2.16,0.513,22,1,0.85,0.52,8.9,0.5,0.163,0.453,0.45,0.25,0,1,0
0,0.711,0.912,10,8,12.9,0.488,70,4,4.64,0.499,40,2,1.27,0.484,17,1,0,1,0,0.5,0,0,0,0.25,0.0522,0.904,0.049
0,0,0,0,8,4.4,0.501,28,4,3.62,0.517,44,2,2.03,0.549,29,1,0.62,0.564,4.3,0.5,0.681,0.509,5.8,0.25,0,0,0
0,0,1,0,8,5.13,0.508,42,4,3.45,0.502,39,2,2.63,0.517,26,1,1.17,0.428,11,0.5,0.573,0.528,4.6,0.25,0,0.726,0
0,0.163,0.707,0.37,8,10.5,0.516,41,4,3.99,0.496,27,2,2.14,0.524,28,1,2.32,0.54,23,0.5,0,0.993,0,0.25,0,0,0
0,0.706,0.943,9.3,8,8.93,0.507,47,4,4.1,0.496,44,2,2.18,0.551,21,1,1.27,0.507,20,0.5,0.573,0.538,3.4,0.25,0.327,0.617,1.3
0,0.148,0.748,0.35,8,11.3,0.499,61,4,3.38,0.492,44,2,1.65,0.504,25,1,1.01,0.442,15,0.5,0,0.146,0,0.25,0.561,0.509,3.1
0,0.402,0.824,4.6,8,8.04,0.491,51,4,7.32,0.509,52,2,1.68,0.495,24,1,1.04,0.425,16,0.5,0.685,0.49,7.8,0.25,0.658,0.758,7.6
0,0.0903,0.667,0.22,8,7.12,0.502,41,4,4.91,0.493,62,2,2.41,0.48,28,1,0.931,0.478,12,0.5,0.217,0.536,0.75,0.25,0.191,0.504,0.83
0,0,0,0,8,3.34,0.481,35,4,5.53,0.478,44,2,2.83,0.488,32,1,1.88,0.454,23,0.5,0.558,0.538,3.8,0.25,0.238,0.642,1.2
0,0.117,0.63,0.31,8,11.1,0.503,54,4,2.64,0.495,29,2,1.38,0.462,17,1,0.91,0.537,15,0.5,0.689,0.666,6.1,0.25,0.12,0.438,0.27
0,0.165,0.85,0.57,8,1.95,0.513,28,4,6.12,0.49,46,2,3.31,0.471,33,1,0,0,0,0.5,0,1,0,0.25,0.802,0.549,13
0,0.67,0.186,8.5,8,5.46,0.491,27,4,4.44,0.485,37,2,1.8,0.503,24,1,1.43,0.542,17,0.5,0,0,0,0.25,0.626,0.564,8.4
0,0,0.413,0,8,5.13,0.475,40,4,6.06,0.52,43,2,2.74,0.481,25,1,0.98,0.559,11,0.5,0.673,0.473,6.1,0.25,0.267,0.627,1.2
0,0,1,0,8,7.76,0.473,42,4,4.1,0.544,23,2,2.12,0.476,34,1,1.71,0.491,25,0.5,1.09,0.52,17,0.25,0,0,0
0,0.281,1,2.1,8,3.26,0.492,41,4,4.89,0.515,34,2,3.95,0.49,31,1,1.03,0.475,11,0.5,0,0,0,0.25,0.821,0.657,10
0,0.155,0.163,0.49,8,8.31,0.462,66,4,2.42,0.489,25,2,1.63,0.488,25,1,1.1,0.568,11,0.5,0.219,0.238,0.71,0.25,0.223,0.606,0.98
0,0.38,0.914,3,8,5.91,0.487,38,4,5.42,0.509,60,2,2.25,0.467,30,1,0.678,0.525,7,0.5,0.253,0.642,0.73,0.25,0,0,0
0,0.517,0.857,3.8,8,7.75,0.5,82,4,4.88,0.48,69,2,2.68,0.455,28,1,0.753,0.55,4.4,0.5,0,0,0,0.25,0,0.94,0
0,0.383,0.123,3.6,8,7.69,0.502,59,4,3.63,0.494,54,2,2.3,0.54,39,1,1.36,0.464,21,0.5,0,0,0,0.25,0.398,0.587,3.4
0,0.131,0.945,0.23,8,3.81,0.519,40,4,4.38,0.456,39,2,2.15,0.516,32,1,0.549,0.515,3.4,0.5,0.62,0.565,4.7,0.25,0,0.47,0
0,0.112,0.872,0.24,8,2.64,0.516,20,4,3.33,0.5,37,2,1.61,0.496,25,1,1.09,0.479,17,0.5,0.623,0.489,5.6,0.25,0.226,0.787,1
0,0,0.778,0,8,4,0.497,37,4,3,0.511,32,2,2.05,0.508,31,1,1.57,0.463,28,0.5,0.833,0.47,11,0.25,0.428,0.754,3.2
0,0,0.0876,0,8,10.3,0.514,41,4,4.45,0.484,50,2,2.73,0.477,38,1,0.819,0.554,10,0.5,0.624,0.48,4.7,0.25,0,0,0
0,0.284,0.893,1.3,8,5.24,0.498,55,4,4.01,0.511,43,2,1.99,0.491,19,1,1.38,0.54,18,0.5,0,0.11,0,0.25,0,0,0
0,0.441,0.946,2.5,8,7.08,0.478,38,4,5.07,0.527,37,2,2.08,0.526,33,1,1.57,0.477,16,0.5,0,0,0,0.25,0,0.157,0
0,0.119,0.858,0.37,8,5.28,0.512,53,4,2.85,0.473,39,2,1.68,0.531,18,1,1.15,0.509,13,0.5,0.373,0.53,2.2,0.25,0.321,0.6,2
